promo_name;promo_description;promo_type
Вместе выгоднее;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqxMbPVx  Вместе дешевле!  Не пропустите вкусные предложения от IRBIS: напиток газированный ""Добрый"" 0,5 л + любой хот-дог, гамбургер, пицца, шаурма, сэндвич или выпечка* выгоднее на 20 рублей!  *Уточняйте подробности акции у операторов АЗС.";stiu
Комплексная химчистка;Комплексная химчистка салона. 1. Тканевый салон: Входит: мойка кузова и салона, химчистка пола, ковриков, всех сидений, потолка, стойки, дверные карты, ремни безопасности, пластик и воздуховоды, багажник, сушка. Цена по акции: 6.000 руб. 2. Салон с кожей: Входит: мойка кузова и салона, химчистка пола, ковриков, чистка кожи всех сидений, руля и подлокотников специальным составом для кожи, химчистка потолка, стойки, дверные карты, ремни безопасности, пластик и воздуховоды, багажник, сушка. Цена по акции: 8.500 руб.  Автомобиль можно оставить на ночь. Работаем круглосуточно! Только по предварительной записи по телефону или вотсап : 893-777-555-80;stiu
Восстановительная полировка кузова;"Восстановительная полировка кузова, убирает ""паутину"" с ЛКП и придает первоначальный блеск. Всего за 5900 р.  Цена действительна для автомобилей любых марок.  Что входит в данный комплекс: -Мойка кузова до полировки; -Чистка кузова; -Полировка профессиональной полировальной машинкой и пастами, которые  подбираются под лак вашего автомобиля; - Мойка кузова и комплексная мойка салона; - Подкраска сколов - бонус для клиентов. Только по предварительной записи. Время работ: 7-10 часов. Автомобиль можно оставить как днем, так и ночью. Адрес: г.Казань, ул. Проспект Победы, 105. тел. 8-93-777-555-80";stiu
Максимум и точка!;Мойка Максимум. Цена 1700руб.на любой кузов и марку!  Что входит: -Подготовка авто высоким давлением -Пенная мойка кузова -Сушка и продувка  -Мойка колесных арок -Мойка колесных дисков -Мойка днища авто -Мойка и сушка дверных проемов -Воск -Трехцветная полироль для блеска -Защитное тефлоновое покрытие -Мойка комплекта салонных ковриков -Пылесос салона и сидений -Чистка стекол -Протирка салонного пластика  -Чистка держателей стаканов  -Полироль панели -Чернение колес -Нанофоггер -Уборка багажника -Силикон резинок и замков  + в подарок фирменная фибра  Работаем БЕЗ записи! Круглосуточно!  Проспект Победы 105 8-93-777-555-80 ;stiu
Делись кодом с другом;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwV14Mc  Теперь рекомендовать АЗС IRBIS стало выгодно! Отправляйте реферальный код из мобильного приложения АЗС IRBIS друзьям и получайте по 150 баллов за каждого друга!  Что нужно сделать: 1. В разделе ""Ещё"" - ""Промокоды"" нажмите на клавишу ""Поделиться промокодом"" и отправьте его друзьям.  2. Другу необходимо зарегистрироваться в мобильном приложении АЗС IRBIS, ввести реферальный код в разделе ""Промокоды"" и совершить 2 заправки от 25 литров  3. После этого каждый (и вы, и друг) получает по 150 баллов на карту лояльности!  Количество приглашаемых друзей - не ограничено.  Подробные правила: http://azsirbis.ru/upload/pdf/Referral_program_rules_2023.pdf";np
Подарок в каждой плитке;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwzyHUi  В период с 15.06.2023 по 31.12.2023 приобретайте в маркете при АЗС фирменный темный шоколад IRBIS, находите уникальный код внутри каждой плитки и выигрывайте один из гарантированных подарков:   • элеш с курицей • треугольник  • энергетический напиток XTRim • капучино • злаковый батончик • скидку до 50% на товары, участвующие в акции, и многое другое!  Подробнее с условиями акции вы можете ознакомиться по ссылке: http://azsirbis.ru/upload/pdf/chocolate_prize_2023.pdf;stiu
Воскресный бонус - тройной бонус!;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzquinx8n  Уважаемые Клиенты! Не упустите свой шанс получить тройные бонусы в воскресенье! С 00.00 до 24.00 при заправке любым топливом на АЗС IRBIS начисляются тройные бонусы* на Вашу карту SMART! Акция действует на следующих АЗС: - АЗС IRBIS, г. Казань, ул. Адоратского, 50В, - АЗС IRBIS, г. Казань, ул. Дубравная, 8А, - АЗС IRBIS, г. Казань, пр. Победы, 194А, - АЗС IRBIS, г. Казань, ул. Ак. Глушко, 8А, - АЗС IRBIS, г. Казань, ул. Космонавтов, 65 к. 1, - АЗС IRBIS, г. Казань, ул. Тихорецкая, 19/2, - АЗС IRBIS, г. Казань, ул. Тэцевская, 223,⁠ - АЗС IRBIS, г. Казань, Сибирский тракт, 40А, - АЗС IRBIS, г. Казань, Сибирский тракт, 50А, - АЗС IRBIS, г. Казань, ул. Декабристов, 81А, - АЗС IRBIS, г. Казань, ул. Миля, 1Б, - АЗС IRBIS, г. Казань, ул. Маршала Чуйкова, 6В, - АЗС IRBIS, г. Казань, ул. Аделя Кутуя, 160Б, - АЗС IRBIS, г. Казань, ул. Техническая, 27, - АЗК IRBIS, с. Сокуры, 29-й км автодороги Казань-Оренбург, - АЗС IRBIS, с. Кощаково, ул. Комсомольская, 1Л, - АЗС IRBIS, г. Зеленодольск, ул. Столичная, 34, - АЗС IRBIS, г. Зеленодольск, ул. Гоголя, 7, - АЗС IRBIS, г. Наб. Челны, ул. Металлургическая (Стройбаза), - АЗС IRBIS, г. Наб. Челны, Казанский Проспект, 261, - АГЗС IRBIS, г. Наб. Челны, ул. Машиностроительная, 92, - АЗС IRBIS, г. Наб. Челны, Альметьевский тракт, - АЗС IRBIS, г. Наб. Челны, ул. Раскольникова, 7, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 135А, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 134, - АЗС IRBIS, г. Наб. Челны, Набережная Тукая, 2/1, - АЗС IRBIS, г. Наб. Челны, Автозаводский пр-т, 61, - АЗС IRBIS, РТ, с. Большая Шильна, ул. Животноводов, 25, - АЗС IRBIS, РТ, Елабужский район, с. Поспелово, - АЗС IRBIS, г. Лениногорск, ул. Чайковского, 19И, - АЗК IRBIS, 847-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 843-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 810-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 812-й км трассы М-7 «Волга» (Москва-Уфа), - АЗС IRBIS, РТ, Верхнеуслонский район, 7-й км трассы Р-241, - АЗС IRBIS, г. Чебоксары, Марпосадское шоссе, 30Б, - АЗС ТранзитСити, г. Козловка, ул. Лобачевского, 34, - АЗС IRBIS, 5-й км автодороги Нижнекамск - Набережные Челны, - АЗС IRBIS, 22-й км автодороги Шали - Сорочьи Горы, - АЗС IRBIS, Нижегородская область, Кстовский р-н, д. Афонино, ул. Магистральная, 136Б, - АЗС IRBIS, Нижегородская область, Кстовский р-н, с. Большая Ельня, ул. Магистральная, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, Сернурский тракт, 23, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, ул. Прохорова, 33, - АЗС IRBIS, Самарская обл., г. Самара, ул. Аэродромная, 72Б, - АЗС IRBIS, Самарская обл., г. Самара, ул. Дзержинского, 29А, - АЗС IRBIS, Самарская обл., г. Самара, ул. Физкультурная, 101А, - АЗС IRBIS, Самарская обл., г. Сызрань, ул. Выборгская, 1Б, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Борковская, 69, - АЗС IRBIS, Самарская обл., г. Тольятти, Приморский бульвар, 45В, - АЗС IRBIS, Самарская обл., г. Тольятти, ул Маршала Жукова, 1А, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Громовой, 88. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"". *стандартный процент начисления - 1% ";np
Умножаем бонусы при заправке ГАЗОМ!;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwFpaJa  Уважаемые клиенты! При заправке газом на АГЗС «IRBIS» начисляются повышенные бонусы на карту SMART! - 1% от суммы покупки начисляется, если количество заправленных литров газа менее 30 л.; - 2% от суммы покупки начисляются, если количество заправленных литров газа более 30 л., но менее 80 л.; - 3% от суммы покупки начисляются, если количество заправленных литров газа более 80. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. Акция действительна на всех АГЗС ""IRBIS"".  Полные правила акции доступны по ссылке: http://azsirbis.ru/upload/pdf/pravila_umnozhaem_bonusy_pri_zapravke_gazom.pdf               ";np
Двойные бонусы за улучшенное топливо XTRim!;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqwb96pW  Уважаемые Клиенты! Заправляясь улучшенным топливом XTRim, Вы получаете двойные баллы на Ваш бонусный счет.  Например: заправившись топливом XTRim на 1000 руб., Вам будет начислено 20 бонусных баллов. *** Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. Акция действительна на всех АЗС ""IRBIS"".";np
Ночная заправка - тройные бонусы!;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwLMaNa  Уважаемые Клиенты! Ежедневно с 00.00 до 05.00 при заправке любым топливом на городских АЗС получайте тройные бонусы на карту SMART. Акция действует на АЗС по адресам: - АЗС IRBIS, г. Казань, ул. Адоратского, 50В, - АЗС IRBIS, г. Казань, ул. Дубравная, 8А, - АЗС IRBIS, г. Казань, пр. Победы, 194А, - АЗС IRBIS, г. Казань, ул. Ак. Глушко, 8А, - АЗС IRBIS, г. Казань, ул. Космонавтов, 65 к. 1, - АЗС IRBIS, г. Казань, ул. Тихорецкая, 19/2, - АЗС IRBIS, г. Казань, ул. Тэцевская, 223,⁠ - АЗС IRBIS, г. Казань, Сибирский тракт, 40А, - АЗС IRBIS, г. Казань, Сибирский тракт, 50А, - АЗС IRBIS, г. Казань, ул. Декабристов, 81А, - АЗС IRBIS, г. Казань, ул. Миля, 1Б, - АЗС IRBIS, г. Казань, ул. Маршала Чуйкова, 6В, - АЗС IRBIS, г. Казань, ул. Аделя Кутуя, 160Б, - АЗС IRBIS, г. Казань, ул. Техническая, 27, - АЗК IRBIS, с. Сокуры, 29-й км автодороги Казань-Оренбург, - АЗС IRBIS, с. Кощаково, ул. Комсомольская, 1Л, - АЗС IRBIS, г. Зеленодольск, ул. Столичная, 34, - АЗС IRBIS, г. Зеленодольск, ул. Гоголя, 7, - АЗС IRBIS, г. Наб. Челны, ул. Металлургическая (Стройбаза), - АЗС IRBIS, г. Наб. Челны, Казанский Проспект, 261, - АГЗС IRBIS, г. Наб. Челны, ул. Машиностроительная, 92, - АЗС IRBIS, г. Наб. Челны, Альметьевский тракт, - АЗС IRBIS, г. Наб. Челны, ул. Раскольникова, 7, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 135А, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 134, - АЗС IRBIS, г. Наб. Челны, Набережная Тукая, 2/1, - АЗС IRBIS, г. Наб. Челны, Автозаводский пр-т, 61, - АЗС IRBIS, РТ, с. Большая Шильна, ул. Животноводов, 25, - АЗС IRBIS, РТ, Елабужский район, с. Поспелово, - АЗС IRBIS, г. Лениногорск, ул. Чайковского, 19И, - АЗК IRBIS, 847-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 843-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 810-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 812-й км трассы М-7 «Волга» (Москва-Уфа), - АЗС IRBIS, г. Чебоксары, Марпосадское шоссе, 30Б, - АЗС ТранзитСити, г. Козловка, ул. Лобачевского, 34, - АЗС IRBIS, 5-й км автодороги Нижнекамск - Набережные Челны, - АЗС IRBIS, 22-й км автодороги Шали - Сорочьи Горы, - АЗС IRBIS, Нижегородская область, Кстовский р-н, д. Афонино, ул. Магистральная, 136Б, - АЗС IRBIS, Нижегородская область, Кстовский р-н, с. Большая Ельня, ул. Магистральная, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, Сернурский тракт, 23, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, ул. Прохорова, 33, - АЗС IRBIS, Самарская обл., г. Самара, ул. Аэродромная, 72Б, - АЗС IRBIS, Самарская обл., г. Самара, ул. Дзержинского, 29А, - АЗС IRBIS, Самарская обл., г. Самара, ул. Физкультурная, 101А, - АЗС IRBIS, Самарская обл., г. Сызрань, ул. Выборгская, 1Б, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Борковская, 69, - АЗС IRBIS, Самарская обл., г. Тольятти, Приморский бульвар, 45В, - АЗС IRBIS, Самарская обл., г. Тольятти, ул Маршала Жукова, 1А, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Громовой, 88. *** При покупке любых видов бензина и дизельного топлива начисляется 3% от суммы покупки. Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. ";np
6-я шаурма за 1 рубль;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqx9AEVc  Совершите покупку 5 (пяти) шт. шаурмы на АЗС IRBIS с использованием бонусной карты SMART и получите 6-ую шаурму всего за 1 рубль!  Акция действует на АЗС по адресам: • АЗС «IRBIS», 148-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 147-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 350-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 233-й км трассы М-7 «Волга» (Москва-Уфа) (справа) • АЗС «IRBIS», 233-й км трассы М-7 «Волга» (Москва-Уфа) (слева) • АЗС «IRBIS», 454-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 377-й км трассы М-7 «Волга» (Москва-Уфа) • АЗК «IRBIS», 611-й км трассы М-7 «Волга» (Москва-Уфа) (справа) • АЗК «IRBIS», 611-й км трассы М-7 «Волга» (Москва-Уфа) (слева) • АЗК «IRBIS», 710-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 734-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», г. Чебоксары, ул. Марпосадское Шоссе, 30б • АЗС «IRBIS», 12-й км автодороги «Вятка» • АЗС «IRBIS», г. Казань, ул. Адоратского, д. 50В • АЗС «IRBIS», г. Казань, ул. Тэцевская, д. 223 • АЗС «IRBIS», г. Казань, ул. Проспект Победы, 194А • АЗС «IRBIS», г. Казань, ул. Ак. Глушко, 8А • АЗС «IRBIS», г. Казань, ул. Дубравная, д. 8А • АЗС «IRBIS», г. Казань, ул. Сибирский тракт, 40А • АЗС «IRBIS», г. Казань, ул. Миля, 1Б • АЗС «IRBIS», РТ, п. Новая Тура • АЗС «IRBIS», г. Зеленодольск, ул. Столичная, 34 • АЗК «Сибнефть», 65-й км трассы Йошкар-Ола - Казань, Республика Марий Эл, пгт. Красногорский • АЗС «IRBIS», 843 км трассы М-7 • АЗС «IRBIS», 810-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», г. Наб. Челны, Казанский Проспект, 261 • АЗС «IRBIS», 5-й км автодороги Нижнекамск - Набережные Челны  В акции не участвуют товары со скидкой, а также комбообеды.   Подробнее с условиями акции вы можете ознакомиться по ссылке: http://azsirbis.ru/upload/pdf/shaurma_za_rubl.pdf;stiu
6-я пицца за 1 рубль;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqujqQtn  С 21.08.2023 совершите покупку 5 (пяти) пицц на АЗС IRBIS с использованием бонусной карты SMART и получите 6-ую пиццу за 1 рубль!  Акция действует на АЗС по адресам: • АЗС «IRBIS», г. Казань, ул. Адоратского, д. 50В • АЗС «IRBIS», г. Казань, ул. Сибирский тракт, 50А (п. Нагорный)  В акции не участвуют товары со скидкой, а также комбообеды. ;stiu
Масло моторное синтетическое;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzquZhgLB  Масло моторное синтетическое Lukoil Genesis Armortech 5w-40, 4 л за 2 299 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.10.23 по 30.11.23 при наличии акционного товара в магазине.;stiu
Масло моторное полусинтетическое;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzquWqkSF  Масло моторное полусинтетическое Lukoil Super New 10w-40 SG/CD, 4 л за 999 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.10.23 по 30.11.23 при наличии акционного товара в магазине.;stiu
Кофемания;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqvH2B9Q  Уважаемые клиенты, акция «КОФЕМАНИЯ» – 6-я чашка за 1 рубль продолжается в новом формате!   ⁠С 16.10.2017 г. совершите покупку 5-ти любых чашек кофе в минимаркетах при АЗС с использованием бонусной карты SMART или мобильного приложения «АЗС IRBIS» и получите 6-ю чашку за 1 рубль. Скидки по акциям не суммируются, акция не распространяется на комбо-обеды и на кофе приобретенное в свою тару.  Акция не распространяется на покупки кофе в кафе ""Юмарт"". Подробнее об акции http://azsirbis.ru/upload/pdf/Coffemania_pravila.pdf";stiu
Энергетический напиток BURN;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqv9kLod  Энергетический напиток BURN 0,25 л. за 99 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.10.23 по 30.11.23 при наличии акционного товара в магазине.;stiu
